"Name","VIP_scores"
"D-erythro-D-galacto-Octitol",2.09663934103526
"Serylhistidine",2.09663934103526
"PE(P-16:0/20:4(5Z,8Z,11Z,14Z))",2.09369478864298
"3,4-Dehydrothiomorpholine-3-carboxylic acid",2.09130803434601
"Ornithine",2.08852246814826
"N-Palmitoylsphingomyelin",2.0877312059261
"2'-Deoxyinosine triphosphate",2.08415750060578
"Inosine",2.08343130206209
"Glycocyamine",2.07810901485172
"Leucylvaline",2.07781878318121
"Fluthiacet",2.07583248279187
"Nervonyl carnitine",2.06516479205733
"Glutathione disulfide",2.06114278003171
"Sphingosine",2.05714135877046
"1-(11Z-eicosenoyl)-glycero-3-phosphocholine",2.05311963689894
"2-[[3-hexadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropoxy]-hydroxyphosphoryl]oxyethyl-trimethylazanium",2.04341489984335
"PC(14:1(9Z)/20:0)",2.04341489984335
"2-Hydroxymyristoylcarnitine",2.03643025741671
"4-Acetamidobutyric acid",2.03410311494226
"1-(1Z-octadecenyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine",2.03325347714787
"Isolariciresinol glucuronide",2.02905854283283
"Guanosine Monophosphate",2.02772404031907
"2-Methylpyrazine",2.02679897652424
"Phosphorylethanolamine",2.0216999572579
"Acronycidine",2.0140539760698
"3-Hydroxy-9-hexadecenoylcarnitine",2.00215488275339
"3-Hydroxyoctanoylcarnitine",2.00121496362007
"Galabiosylceramide (d18:1/16:0)",2.00028014326328
"2-(Methylthio)-3H-phenoxazin-3-one",1.99686219457307
"2'Deoxy-thymidine-5'-diphospho-alpha-D-glucose",1.9937885025535
"Iridin",1.98006858163421
"Cysteinylglycine",1.97958770020675
"Valeroidine",1.97700911113873
"Melamine",1.97372891748223
"7-[[(1S)-4-[[(1S)-4-[2-[4-[[5-(aminomethyl)furan-3-yl]methoxy]phenyl]ethylamino]-1-carboxy-4-oxobutyl]amino]-1-carboxy-4-oxobutyl]amino]-7-oxoheptane-1,3,4-tricarboxylic acid",1.97041883337041
"Glu-Pro",1.97030661860491
"Tokoronin",1.96387235615441
"Loganin pentaacetate",1.96337606702585
"PG(a-13:0/i-22:0)",1.95900266819608
"(2R,3S,5S,8S,9S,10R,13S,17R)-2,3-dihydroxy-10,13-dimethyl-17-[(2S,3R,4R,5S)-3,4,7-trihydroxy-5,6-dimethylheptan-2-yl]-1,2,3,4,5,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-6-one",1.95653861815853
"3,5-Dimethyl-1,2,4-trithiolane",1.95299373799204
"2-Aminoadenosine",1.94839028494785
"PC(16:0/20:4(5Z,8Z,11Z,14Z))",1.94771635921784
